"","Country","(ES$Country %in% countries_1985_05)","AQ","CSEQ","CSTORE","REC","WQ","WA","LIVE","CROP","Dev","MEAN","avg_gini","avg_gini2","Data.Quality","HDI","Per.Capita.GDP","Region","Income.Group","Population..millions.","Cropland.Footprint","Grazing.Footprint","Forest.Product.Footprint","Carbon.Footprint","Fish.Footprint","Built.up.land","Total.Ecological.Footprint"
"46","Guyana",TRUE,0.00415694,107.175,299.325,12.958,0.00105848,3.70017,0.415427,0.04909482,"Rest of World",0.00105848,40.0751958580017,46.1074532794952,"5",0.629327,3269.46,"Latin America","LM",0.8,0.7,0.22,0.77,1.25,0.06,0.06,3.07
"47","Haiti",TRUE,0.0112273,60.9525,96.5635,12.9775,0.0303582,277.113,39.3053,4.55124,"Least Developed",0.0303582,53.9478750228882,54.4661730363634,"6",0.478859,749.129,"Latin America","LI",10.17,0.27,0.04,0.1,0.15,0.01,0.03,0.61
"48","Honduras",TRUE,0.0113782,344.005,207.944,16.3328,0.00878591,67.4859,13.9856,0.669418,"Rest of World",0.00878591,52.3139411201477,50.9450539398193,"3B",0.607094,2269.51,"Latin America","LM",7.94,0.28,0.25,0.5,0.6,0,0.06,1.68
"49","Hungary",TRUE,0.01483,32.4767,133.445,16.0531,0.000981588,43.2507,11.9501,12.6983,"Rest of World",0.000981588,28.5117625865936,27.1619867115021,"5",0.823268,13964.2,"EU-27","HI",9.98,0.42,0.08,0.36,1.9,0.02,0.13,2.92
"50","India",TRUE,0.00837819,-104.863,91.4888,13.4614,0.0402188,397.777,41.2588,26.54163,"Rest of World",0.0402188,44.616774974823,43.5965397109985,"6",0.599959,1513.85,"Asia-Pacific","LM",1236.69,0.34,0.01,0.14,0.61,0.02,0.05,1.16
"51","Indonesia",TRUE,0.0127267,133.642,358.137,13.4128,0.0133083,119.371,4.88033,2.681185,"Rest of World",0.0133083,35.0009055309296,33.9144448619419,"6",0.678033,3688.53,"Asia-Pacific","LM",246.86,0.44,0.03,0.2,0.64,0.21,0.06,1.58
"52","Ireland",TRUE,0.0136207,240.657,275.621,16.1281,0.00303648,62.4461,70.6167,0.502826,"Most Developed",0.00303648,31.7514368019104,33.3923038419088,"5",0.909851,52853.6,"EU-27","HI",4.58,1.08,0.49,0.46,3.22,0.18,0.13,5.57
"53","Israel",TRUE,0.0102594,58.9943,59.9693,16.9427,0.00542272,626.077,17.1935,0.946373,"Rest of World",0.00542272,34.7937395477295,31.7186853504181,"6",0.89027,33718.9,"Middle East/Central Asia","HI",7.64,0.89,0.22,0.36,4.59,0.07,0.08,6.22
"54","Italy",TRUE,0.0190038,233.251,100.421,15.9712,0.011612,191.444,19.4433,6.52401,"Most Developed",0.011612,33.7261851291656,31.9918294734955,"6",0.871708,38412,"EU-27","HI",60.92,0.91,0.32,0.42,2.77,0.12,0.06,4.61
"55","Japan",TRUE,0.028694,184.216,235.617,16.4787,0.0234173,330.194,10.5379,0.890903,"Most Developed",0.0234173,30.3383601417542,30.1369496669769,"6",0.888041,46201.6,"Asia-Pacific","HI",127.25,0.53,0.1,0.27,3.69,0.33,0.1,5.02
"56","Jordan",TRUE,0.0024688,-57.1458,50.4975,15.1841,0.00230547,338.908,2.04448,0.1082865,"Rest of World",0.00230547,38.8211136169434,37.8739222412109,"5",0.746172,4615.17,"Middle East/Central Asia","UM",7.01,0.54,0.18,0.17,1.09,0.03,0.07,2.1
"57","Kazakhstan",TRUE,0.00281375,-170.405,64.8956,14.2326,0.00106875,9.01583,1.55434,0.469213,"Rest of World",0.00106875,32.3087258033752,26.1842388124466,"3L",0.778122,11278,"Middle East/Central Asia","UM",16.27,0.58,0.19,0.12,4.59,0.03,0.03,5.55
"58","Kenya",TRUE,0.00400665,-198.048,89.1867,15.5193,0.00563707,86.8528,14.3311,0.462217,"Rest of World",0.00563707,45.7287353897095,48.3525917720795,"5",0.539314,1062.11,"Africa","LI",43.18,0.25,0.23,0.27,0.2,0.05,0.04,1.03
"59","Korea, Republic of",TRUE,0.0372698,204.61,76.7143,13.8711,0.0309659,460.052,30.761,1.06833,"Most Developed",0.00481247,30.0842327709198,31.0475992279053,"5",0.892832,24155.8,"Asia-Pacific","HI",49,0.71,0.12,0.21,4.17,0.41,0.06,5.69
"60","Latvia",TRUE,0.00895253,107.196,212.67,15.6082,0.002223,20.3758,9.59477,0.709995,"Rest of World",0.002223,33.6067725582123,24.580098736763,"5",0.812857,13732,"EU-27","HI",2.06,2.28,0.09,2.02,1.66,0.11,0.13,6.29
"61","Lesotho",TRUE,0.00538113,76.6208,91.8175,14.6232,0.0153562,63.846,29.5166,0.6752708,"Least Developed",0.0153562,55.2366599416733,57.3811389656067,"3B",0.484408,1338.42,"Africa","LM",2.05,0.22,0.49,0.42,0.51,0,0.01,1.66
"62","Lithuania",TRUE,0.00958711,95.7936,192.096,15.6771,0.00373637,38.4481,10.4946,3.32405,"Rest of World",0.00373637,33.1524528331757,24.6174722900391,"5",0.832975,14373.7,"EU-27","UM",3.03,1.89,0.21,1.28,2.15,0.16,0.15,5.83
"63","Madagascar",TRUE,0.00433489,379.951,131.871,15.1793,0.00747067,35.0321,9.85734,0.2674177,"Least Developed",0.00747067,40.898504360199,36.8725508817037,"6",0.507135,456.327,"Africa","LI",22.29,0.27,0.34,0.24,0.07,0.02,0.06,0.99
