country,contcod,region,MENA,year,DEININGER,gini_DS,Dinc_DS,Dhh_DS,Dgross_DS,WIDER,gini_W,Dinc_W,Dhh_W,Dgross_W,LIS,gini_LIS,Dinc_LIS,Dhh_LIS,Dgross_LIS,SEDLAC,gini_SEDLAC,Dinc_SEDLAC,Dhh_SEDLAC,Dgross_SEDLAC,EEUROPE,gini_EE,Dinc_EE,Dhh_EE,Dgross_EE,WYD,gini_WYD,Dinc_WYD,Dhh_WYD,Dgross_WYD,SILC,gini_SILC,Dinc_SILC,Dhh_SILC,Dgross_SILC,POVCAL,gini_POVCAL,Dinc_POVCAL,Dhh_POVCAL,INDIE,gini_INDIE,Dinc_INDIE,Dhh_INDIE,Dgross_INDIE,CEPAL,gini_CEPAL,Dinc_CEPAL,Dhh_CEPAL,Dgross_CEPAL,ALLTHEGINI,Giniall,Di,Dhh,Dg,source_of_data,cc
Albania,ALB,Eastern Europe,0,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.986362
Albania,ALB,Eastern Europe,0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.563637
Albania,ALB,Eastern Europe,0,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.265217
Albania,ALB,Eastern Europe,0,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.970833
Albania,ALB,Eastern Europe,0,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.282608
Albania,ALB,Eastern Europe,0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.463638
Albania,ALB,Eastern Europe,0,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.150002
Albania,ALB,Eastern Europe,0,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.164516
Albania,ALB,Eastern Europe,0,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.719357
Albania,ALB,Eastern Europe,0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.166668
Albania,ALB,Eastern Europe,0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.890907
Albania,ALB,Eastern Europe,0,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.799999
Albania,ALB,Eastern Europe,0,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.812122
Albania,ALB,Eastern Europe,0,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.359459
Albania,ALB,Eastern Europe,0,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.965
Albania,ALB,Eastern Europe,0,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.422642
Albania,ALB,Eastern Europe,0,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93
Albania,ALB,Eastern Europe,0,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.127274
Albania,ALB,Eastern Europe,0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.394444
Albania,ALB,Eastern Europe,0,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.387691
Albania,ALB,Eastern Europe,0,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.26923
Albania,ALB,Eastern Europe,0,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.608929
Albania,ALB,Eastern Europe,0,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.709999
